node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
6,both,0.325518873,NA,6.1,19.3,NA,19.3,86.7,20.8,NA,17.4,92.6
6.1,both,0.190634777,6.2,end,17.4,94.6,1.3,11.9,17.8,97.1,2.2,11.9
6..10,both,0.449112627,end,end,4.73,54.1,4.18,130,6.31,106,4.49,125
6.11,both,0.031290307,end,end,4.6,55.6,2.78,23.2,5.09,90.6,5.14,156
6.2,both,0.520981555,6.3,6.2.1,12.7,66.4,13.7,119,12,66.5,15.2,120
6.3,both,0.304177224,6.4,6.3.1,12.9,14.2,5.43,69.6,14.8,18.1,6.88,74
6.6,both,0.387901605,6.8,end,12.9,60,1.93,4.4,11.5,57.6,4.74,37.2
6.8,both,0.072972172,6.9,6.8.1,5.89,7.65,3.98,NA,9.52,12,4.55,NA
6.9,both,0.285875845,6.1,end,5.25,49.2,4.02,19.6,6.06,49.5,6.44,18.1
6.2.1,both,0.427326236,6.2.2,6.2.1.1,10.6,61,8.6,63,12.9,64.6,9.12,66.8
6.2.2,both,0.27293993,6.2.3,6.2.2.1,9.47,9.03,6.55,36.8,11.8,9.58,5.99,43.3
6.2.2.2.2,both,0.168762504,end,end,2.98,14.5,6.61,16.4,4.4,53.4,3.47,26.3
6.2.3,both,0.272228252,6.2.4,end,10.4,56.5,3.45,6.45,7.62,46.5,3.82,6.13
6.2.4,both,0.411096411,6.2.6,end,8.78,21.3,7.11,1.96,NA,NA,NA,NA
6.2.5,both,0.419700881,6.2.6,end,7.65,15.3,3.14,3.1,9.2,13.3,4.89,8.64
6.2.6,both,0.452827056,6.2.9,end,5.65,54.7,9.54,16.6,6.63,56.3,6.13,20.6
6.2.7,both,0.562455702,6.2.9,end,10.6,57.8,3.83,51.4,7.05,59.3,2.57,301
6.2.9,both,0.023744996,6.2.10,end,4.21,44.1,2.33,27.8,5.65,47.9,3.65,104
6.4.2,both,0.416131979,6.4.5,end,6.08,24.6,2.01,14.7,10.1,18.6,7.58,14.1
6.4.6,both,0.343225053,6.4.7,end,6.13,52.2,3.76,4.62,7.65,56.2,2.34,4.75
6.4.8,both,0.041131712,end,end,4.47,12.7,2.28,8.03,6.59,200,4.79,45.9
6.8.1,both,0.456630537,end,end,4.5,13.5,1.85,3.04,5.21,35.7,2.99,6.69
6.4.5,both,0.583482426,,,,,,,,,,
6.2.1.1,both,0.660097015,,,,,,,,,,
6.2.10,both,0.671467377,,,,,,,,,,
6.2.2.2,both,0.680433001,,,,,,,,,,
6.3.1,both,0.767086427,,,,,,,,,,
6.4,both,0.822591253,,,,,,,,,,
6.5,both,0.852444782,,,,,,,,,,
6.2.2.1,both,0.90057513,,,,,,,,,,
6.4.*1,both,0.949298607,,,,,,,,,,
6.4.7,both,0.968607928,,,,,,,,,,
point 23,both,0.535014184,,,,,,,,,,
point 24,both,0.300263087,,,,,,,,,,
point 25,both,0.38985869,,,,,,,,,,
point 26,both,0.317222253,,,,,,,,,,
point 27,both,0.456101575,,,,,,,,,,
point 28,both,0.583234019,,,,,,,,,,
point 29,both,0.948993635,,,,,,,,,,
point 30,both,0.360245828,,,,,,,,,,
point 31,both,0.727989718,,,,,,,,,,
point 32,both,0.794614938,,,,,,,,,,
point 33,both,0.988826281,,,,,,,,,,
point 34,both,0.996895575,,,,,,,,,,
point 35,both,0.699072592,,,,,,,,,,
point 36,both,0.073008168,,,,,,,,,,
6.10.1,180228,0.232053415,6.10.2,end,3.39,56.2,1.35,2.65,,,,
6.10.4,180228,0.107525735,end,end,2.7,15.8,1.76,5.51,,,,
6.2.8,180228,0.134127942,6.2.10,end,6.4,48.9,3.02,7.07,,,,
6.4.3,180228,0.285558663,6.4.4,end,6.07,17.5,6.24,15.8,,,,
6.10.5,180228,0.320148587,,,,,,,,,,
6.4.4,180228,0.347415095,,,,,,,,,,
6.10.2,180228,0.579754379,,,,,,,,,,
6.7,180228,0.714929517,,,,,,,,,,
6.2.2.2.1,180228,0.764721301,,,,,,,,,,
6.10.3,180228,0.800404062,,,,,,,,,,
6.2.1.2,180228,0.8106109,,,,,,,,,,
6.4.1,180228,0.815513861,,,,,,,,,,
6.3.1.1,180228,0.944264116,,,,,,,,,,
NA,180228,0.543989495,,,,,,,,,,
6.11.1,180328,0.066670331,end,end,,,,,3.43,6.83,2.65,10.6
6.11.4,180328,0.049660534,,,,,,,,,,
6.2.1.7.2,180328,0.133132638,end,end,,,,,3.44,51.7,1.38,2.82
6.2.10.1,180328,0.246668435,end,end,,,,,3.34,30.5,1.81,11.5
6.2.11,180328,0.238996138,6.2.13,6.2.11.1,,,,,6.92,54.3,5.84,54.4
6.2.2.3,180328,0.260104666,6.2.2.4,end,,,,,7.6,98.1,5.07,3.42
6.2.7.1,180328,0.087247586,end,end,,,,,3.57,51.7,1.82,3.33
6.2.9.1,180328,0.032754641,6.2.9.2,end,,,,,5.28,27.6,2.99,6.34
6.3.2.2,180328,0.315052191,end,end,,,,,1.87,11.5,0.853,8.24
6.3.3,180328,0.016188716,6.3.6,end,,,,,5.99,55,3.63,2.72
6.3.5,180328,0.066956743,6.3.7,end,,,,,4.09,24.4,3.58,27.8
6.3.7,180328,0.340706678,6.3.8,end,,,,,3.02,36.1,1.44,3.5
6.3.9.1,180328,0.361094012,,,,,,,,,,
6.4.11.1,180328,0.148372631,end,end,,,,,1.83,8.04,1.34,2.66
6.4.14,180328,0.168484899,6.4.15,end,,,,,5.86,46.2,2.83,49.5
6.4.15.1,180328,0.308004582,end,end,,,,,1.01,1.5,0.675,2.87
6.4.16,180328,0.137540309,,,,,,,,,,
6.4.6*1.1,180328,0.296191855,end,end,,,,,5.31,11.8,1.06,4.82
6.4.8.4,180328,0.103802603,6.4.8.5,end,,,,,3.11,12.2,1.55,5.33
6.5.2,180328,0.117118323,end,end,,,,,2.02,3.65,3.5,8.96
6.5*2,180328,0.248502629,6.9,end,,,,,10.9,67.5,4.49,5.83
6.4.7*3,180328,0.368850575,6.4.9,end,,,,,9.58,42.5,2.66,5.76
6.4.14.1.1.1,180328,0.391440182,end,end,,,,,4.2,1.95,2.02,4.96
6.3.1.3,180328,0.394692653,end,end,,,,,4.47,53.5,1.26,4.93
6.2.12,180328,0.397116783,,,,,,,,,,
6.2.10.2,180328,0.401048319,,,,,,,,,,
6.5.1,180328,0.402058724,,,,,,,,,,
6.5*1,180328,0.411918937,,,,,,,,,,
6.4.11,180328,0.41261252,,,,,,,,,,
6.2.2.2.2.1,180328,0.4139706,,,,,,,,,,
6.4.7*1,180328,0.431304847,,,,,,,,,,
6.4.7*2,180328,0.446712468,,,,,,,,,,
6.4.13,180328,0.450401814,,,,,,,,,,
6.3.9,180328,0.454826146,,,,,,,,,,
6.4.14.1.1,180328,0.458334116,,,,,,,,,,
6.11.3,180328,0.462155925,,,,,,,,,,
6.3.1.2,180328,0.468863509,,,,,,,,,,
6.2.1.7.1,180328,0.47726192,,,,,,,,,,
6.4.14.1,180328,0.479932651,,,,,,,,,,
6.4.8.2,180328,0.499897051,,,,,,,,,,
6.2.11.1,180328,0.506023278,,,,,,,,,,
6.2.1.*1,180328,0.517872145,,,,,,,,,,
6.2.2.2.4,180328,0.524127213,,,,,,,,,,
6.2.9*1,180328,0.525430035,,,,,,,,,,
6.3.9.2,180328,0.539857579,,,,,,,,,,
6.2.1.5,180328,0.59680061,,,,,,,,,,
6.2.2.4,180328,0.615073402,,,,,,,,,,
6.4.15,180328,0.619489347,,,,,,,,,,
6.2.14,180328,0.628194412,,,,,,,,,,
6.3.1.0,180328,0.63590932,,,,,,,,,,
6.4.8.3,180328,0.645039925,,,,,,,,,,
6.3.1.4,180328,0.665269954,,,,,,,,,,
6.2.9.2,180328,0.677225247,,,,,,,,,,
6.11.1.2,180328,0.678928452,,,,,,,,,,
6.2.*1,180328,0.688336,,,,,,,,,,
6.3.2.1,180328,0.710374215,,,,,,,,,,
