node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
12,both,0.1679183229,NA,12.1,13.3,NA,9.55,38.5,10.2,NA,9.02,42.5
12.1,both,0.1521439198,12.4,12.1.1,7.62,78.8,9,27.6,7.09,85.3,8.95,29
12.4,both,0.6332638839,12.5,end,6.13,11.4,1.24,3.53,8.05,15,2.5,8.75
12.5,both,0.8454486849,,,,,,,,,,
12.1.1,both,0.8602375953,,,,,,,,,,
point 23,both,0.1202937923,,,,,,,,,,
point 24,both,0.31776335,,,,,,,,,,
point 25,both,0.6354382623,,,,,,,,,,
point 26,both,0.1544014625,,,,,,,,,,
point 27,both,0.3886176,,,,,,,,,,
point 28,both,0.3395618373,,,,,,,,,,
point 29,both,0.3717961171,,,,,,,,,,
point 30,both,0.7646059508,,,,,,,,,,
point 31,both,0.07748593156,,,,,,,,,,
point 32,both,0.01611357403,,,,,,,,,,
point 33,both,0.1417137169,,,,,,,,,,
point 34,both,0.427178808,,,,,,,,,,
point 35,both,0.2644997642,,,,,,,,,,
point 36,both,0.9176481495,,,,,,,,,,
12.2.1,180228,0.09736967983,end,end,1.64,7.95,1.43,2.31,,,,
12.5.2,180228,0.1583273238,12.5.3,end,4.39,4.61,2.71,5.83,,,,
12.5.4.1,180228,0.1707126403,,,,,,,,,,
12.5.3,180228,0.3719765114,,,,,,,,,,
12.5.1,180228,0.484287826,,,,,,,,,,
12.1.12,180228,,,,,,,,,,,
12.2,180228,0.6299783451,,,,,,,,,,
12.3,180228,0.7197248904,,,,,,,,,,
12.5.4,180228,0.7811917951,,,,,,,,,,
NA,180228,0.6555774915,,,,,,,,,,
12.6,180328,0.8223332347,end,end,,,,,6.92,11,3.07,9.49
NA,180328,0.8599038711,,,,,,,,,,
