node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
15,both,,NA,15.1,16.5,NA,4.79,71.6,13,NA,11,NA
point 23,both,,,,,,,,,,,
point 24,both,,,,,,,,,,,
point 25,both,,,,,,,,,,,
point 26,both,,,,,,,,,,,
point 27,both,,,,,,,,,,,
point 28,both,,,,,,,,,,,
point 29,both,,,,,,,,,,,
point 30,both,,,,,,,,,,,
point 31,both,,,,,,,,,,,
point 32,both,,,,,,,,,,,
point 33,both,,,,,,,,,,,
point 34,both,,,,,,,,,,,
point 35,both,,,,,,,,,,,
point 36,both,,,,,,,,,,,
15.7.1,180222,0.110679649,end,end,1.7,15.8,2.48,3.64,,,,
15.2,180222,0.124327626,15.3,end,3.95,23,2.96,4.8,,,,
15.1,180222,0.1384933,15.3,end,4.93,86.2,1.75,2.76,,,,
15.5,180222,0.175425802,15.7,end,7.49,30.8,3.69,9.59,,,,
15.4,180222,0.260065809,,,,,,,,,,
15..10,180222,0.50511715,,,,,,,,,,
15.3,180222,0.510116061,,,,,,,,,,
15.8.1,180222,0.514670328,,,,,,,,,,
15.6,180222,0.551631446,,,,,,,,,,
15.7,180222,0.570541067,,,,,,,,,,
15.9,180222,0.655389109,,,,,,,,,,
15.8,180222,0.733264981,,,,,,,,,,
15.8.2,180222,0.93711836,,,,,,,,,,
15.11,180222,0.963964586,,,,,,,,,,
NA,180222,,,,,,,,,,,
none,180323,,,,,,,,,,,
