nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
10.3,both,,,,,,,,,,,
10,both,,,,,,,,,,,
10.2,both,,,,,,,,,,,
10.5,both,,,,,,,,,,,
10.1,180222,,,,,,,,,,,
10.3.2.1,180222,,,,,,,,,,,
10.2.2,180222,,,,,,,,,,,
10.8.2,180222,,,,,,,,,,,
10.9.1,180222,,,,,,,,,,,
10.3.6.1,180222,,,,,,,,,,,
10.3.3,180222,,,,,,,,,,,
10.6,180222,,,,,,,,,,,
10.3.5,180222,,,,,,,,,,,
10.3.1,180222,,,,,,,,,,,
10.2.1,180222,,,,,,,,,,,
10.9,180222,,,,,,,,,,,
10.6.1,180222,,,,,,,,,,,
10.7,180222,,,,,,,,,,,
10.3.2,180222,,,,,,,,,,,
10.10.3,180222,,,,,,,,,,,
10.3.7,180222,,,,,,,,,,,
10.4,180222,,,,,,,,,,,
10.10.2,180222,,,,,,,,,,,
10.8,180222,,,,,,,,,,,
10.8.1,180222,,,,,,,,,,,
10.3.9,180222,,,,,,,,,,,
10.1,180222,,,,,,,,,,,
10.3.8,180222,,,,,,,,,,,
10.6.2,180222,,,,,,,,,,,
10.10.1,180222,,,,,,,,,,,
10.3.3.1,180222,,,,,,,,,,,
10.3.10,180222,,,,,,,,,,,
10.3.6,180222,,,,,,,,,,,
10.3.4,180222,,,,,,,,,,,
10.11,180222,,,,,,,,,,,
NA,180222,,,,,,,,,,,
none,180323,,,,,,,,,,,
