# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.090028,41.819875,33.923080
point 24,,,,,,,,-88.090041,41.819957,33.647379
point 25,,,,,,,,-88.089928,41.819941,33.655599
point 26,,,,,,,,-88.089871,41.819870,33.834388
point 27,,,,,,,,-88.089925,41.819793,34.094864
point 28,,,,,,,,-88.090031,41.819779,34.196671
point 29,,,,,,,,-88.090124,41.819831,34.041593
point 30,,,,,,,,-88.090129,41.819914,33.805883
point 31,,,,,,,,-88.090025,41.819887,33.858303
point 32,,,,,,,,-88.090011,41.820018,33.628251
point 33,,,,,,,,-88.089827,41.819916,33.796606
point 34,,,,,,,,-88.089909,41.819750,34.305954
point 35,,,,,,,,-88.090106,41.819766,34.349312
point 36,,,,,,,,-88.090189,41.819894,33.901388
4,,,,,,,,-88.090006,41.819873,36.112686
4-1,,,,,,,,-88.090011,41.819873,36.722422
4-2,,,,,,,,-88.090014,41.819873,36.928667
4-3,,,,,,,,-88.090015,41.819871,36.981356
4-3-1,,,,,,,,-88.090021,41.819868,37.283171
4-3-1-1,,,,,,,,-88.090023,41.819866,37.277525
4-3-1-2,,,,,,,,-88.090028,41.819860,37.268878
4-3-2,,,,,,,,-88.090022,41.819868,37.378518
4-3-3,,,,,,,,-88.090024,41.819869,37.507400
4-3-4,,,,,,,,-88.090026,41.819868,37.648967
4-3-5,,,,,,,,-88.090026,41.819867,37.689450
4-3-4-1,,,,,,,,-88.090030,41.819867,37.729919
4-3-6,,,,,,,,-88.090029,41.819865,37.944887
4-4,,,,,,,,-88.090022,41.819873,37.164699
4-5,,,,,,,,-88.090022,41.819873,37.148332
4-6,,,,,,,,-88.090023,41.819874,37.184247
4-7,,,,,,,,-88.090025,41.819875,37.156431
