# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.083844,41.821275,193.281744
point 24,,,,,,,,-88.083749,41.821175,193.021103
point 25,,,,,,,,-88.083685,41.821291,193.197422
point 26,,,,,,,,-88.083722,41.821374,193.415904
point 27,,,,,,,,-88.083876,41.821400,193.608674
point 28,,,,,,,,-88.083970,41.821350,193.728453
point 29,,,,,,,,-88.083948,41.821258,193.423898
point 30,,,,,,,,-88.083893,41.821183,193.257918
point 31,,,,,,,,-88.083861,41.821276,193.321909
point 32,,,,,,,,-88.083666,41.821161,193.001258
point 33,,,,,,,,-88.083631,41.821331,193.321422
point 34,,,,,,,,-88.083805,41.821438,193.673056
point 35,,,,,,,,-88.084005,41.821395,194.138415
point 36,,,,,,,,-88.083971,41.821194,193.465464
11,,,,,,,,-88.083821,41.821284,208.075398
11-1,,,,,,,,-88.083822,41.821285,208.262044
11-2,,,,,,,,-88.083823,41.821286,208.389906
11-3,,,,,,,,-88.083824,41.821287,208.448093
11-4,,,,,,,,-88.083825,41.821287,208.397041
11-4.1,,,,,,,,-88.083827,41.821288,208.760204
11-4.1-1,,,,,,,,-88.083825,41.821288,208.897973
11-4.1-1-1,,,,,,,,-88.083825,41.821288,208.881473
11-4.2,,,,,,,,-88.083829,41.821288,208.865473
11-4.3,,,,,,,,-88.083832,41.821290,209.049272
11-6,,,,,,,,-88.083835,41.821292,209.464056
